id_review,caption,relative_date,retrieval_date,rating,username,n_review_user,n_photo_user,url_user
ChZDSUhNMG9nS0VJQ0FnSURyNEluVFdBEAE,The experience was very horrible went with my family for dinner we were 4 of us had 2 veg and 2non-veg courses For chicken the Barbeque items were not that great Tikka had no good marination also the prawns seemed to be bit old fish was like small pieces tandoori leg was also half cooked overall was not good Coming to veg had not much options to choose from very limited were their that also paneer was sooo spicy and it was all just the masala coated dint feel like was even marinated mushrooms were not even fresh in that aloo was half cooked overall. So veg also same story not a good experience Coming to main course their basic dal tadka and dal makhani was horrible no taste no flavour nothing chicken curry horrific Chicken used in the curry was an old chicken as if it was stored in the fridge for too long or either the vendor gave him the old chicken don’t know was completely rubber I could just see and tell that the chicken was old but still tried and yes it was horribel. Seriously guys don’t waste ur money heir I paid over 6k and got horrible food not worth it They have lost their food quality very badly I will not recommend anyone to go not worth the price what u pay for might aswell go somewhere else.,4 weeks ago,2024-08-11 17:55:20.851815,1.0,Anuja Anil Jadhav,27,https://www.google.com/maps/contrib/100701600437306499271/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURyZ0s3ZFl3EAE,Vinod was excellent and extremely hospitable. Made my entire experience memorable. The entire staff was very courteous and friendly. They were serving with love and joy. The service was from the heart.❤️,4 weeks ago,2024-08-11 17:55:20.851815,5.0,Esha Desai,15,https://www.google.com/maps/contrib/104950051649634133130/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNyMjU2RTRnRRAB,,a month ago,2024-08-11 17:55:25.339990,5.0,mohd Zubair Ansari,0,https://www.google.com/maps/contrib/115507967750606940216/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNyenFydU9REAE,Please don't go to worli...bn...because first they will tell without tax rate ...and after finishing ur food...they will add so much of taxes...and waiting period of...every food serve is..atleast 10 mints...and if ur sit at main entrance table..the staff will forget u...that customer is also sit at that table ..they will not provide u food....properly..so..finally I share my overall experience...please waste ur money...,a month ago,2024-08-11 17:55:25.340992,1.0,Maddy S,0,https://www.google.com/maps/contrib/114802612162589035918/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNycHBTeHdnRRAB,,a month ago,2024-08-11 17:55:25.340992,5.0,Tanmayee Mahadik,0,https://www.google.com/maps/contrib/112760493803014545894/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNyb3NYNHNRRRAB,,a month ago,2024-08-11 17:55:25.340992,5.0,nirmal ram,0,https://www.google.com/maps/contrib/116559283336179186762/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNycUtUN0d3EAE,Excellent service 💯,a month ago,2024-08-11 17:55:25.342499,5.0,Idmc Ruman,0,https://www.google.com/maps/contrib/117421433128748882499/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMc2NHZ1lREAE,looking place nice and food is very delicious,a month ago,2024-08-11 17:55:25.343514,5.0,Mantesh Magadum,0,https://www.google.com/maps/contrib/114172207104614368543/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMMGV1X0d3EAE,"one of a kind . Tasty food , Great ambience , courteous staff , would like to visit again",a month ago,2024-08-11 17:55:25.344517,5.0,kiran kumar,19,https://www.google.com/maps/contrib/106558110296322638685/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURMMGF5QXp3RRAB,Very good taste and ambience,a month ago,2024-08-11 17:55:25.344517,5.0,Aarti Pagar,0,https://www.google.com/maps/contrib/105808892972375146610/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMMk1MZEhnEAE,Sorry,a month ago,2024-08-11 17:55:25.345513,1.0,prahlad moga,13,https://www.google.com/maps/contrib/116623351935161001757/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMNU5xeWNnEAE,Having a nice experience at first time 😜😜 great deal with staff and atmosphere is also pleasent,a month ago,2024-08-11 17:55:25.346514,4.0,AR CREATIONS,11,https://www.google.com/maps/contrib/109287196180317585550/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSURMeE4tYi1RRRAB,"Must try Starters particularly for Non-Veg Lovers, Excellent in Ambience.",a month ago,2024-08-11 17:55:29.833667,5.0,Sai Manchikanti,2,https://www.google.com/maps/contrib/103418347645000774758/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMLU4tM0Z3EAE,,a month ago,2024-08-11 17:55:29.834965,2.0,Arham Rupesh Shah,0,https://www.google.com/maps/contrib/101197118338411881622/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMLU5EalRnEAE,It's well dinning place to spend time with friends and family and also food too delicious 😋,a month ago,2024-08-11 17:55:29.835976,5.0,MD Feroz Hundekar,18,https://www.google.com/maps/contrib/116458725132808528600/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSURMNEo3YkFnEAE,Good please to visit with family...,a month ago,2024-08-11 17:55:29.835976,4.0,Jennisa RS,43,https://www.google.com/maps/contrib/109193752817153517584/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMMzVlUjBnRRAB,This restro have a better food and best atmosphere... I liked it,a month ago,2024-08-11 17:55:29.835976,5.0,Manish Sharma,0,https://www.google.com/maps/contrib/100168347703610245550/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbjRTdlJ3EAE,,a month ago,2024-08-11 17:55:29.838472,5.0,Mohit Kharlava,0,https://www.google.com/maps/contrib/116269849161287856671/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMNzRuYVBnEAE,Beautiful place to enjoy yummy food.,a month ago,2024-08-11 17:55:29.838472,5.0,Vikas Mone,0,https://www.google.com/maps/contrib/109527250388923458000/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMNi1iUUN3EAE,,a month ago,2024-08-11 17:55:29.838472,5.0,Rajeev Kumar,0,https://www.google.com/maps/contrib/105982778020816020280/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMcTZ2MXRnRRAB,Delicious,a month ago,2024-08-11 17:55:29.839807,5.0,Gaddi Avinash,0,https://www.google.com/maps/contrib/102972582681330538643/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMZzRESTJBRRAB,Super food super service super atmosphere,a month ago,2024-08-11 17:55:29.839807,5.0,Krishna Prasad,0,https://www.google.com/maps/contrib/106704315362458095666/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMX1lfRlFREAE,The service was really good and the staff there were very cooperative and definitely a must visit considering-their food and service.,a month ago,2024-08-11 17:55:35.012421,5.0,Arham Shah,0,https://www.google.com/maps/contrib/114335274288769808829/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMX2VXMmRREAE,,a month ago,2024-08-11 17:55:35.013422,5.0,Sania Hasan,0,https://www.google.com/maps/contrib/105107280830378617378/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMdmF1a01BEAE,Food is very delicious very nice staff with fabulous service,a month ago,2024-08-11 17:55:35.013422,5.0,Prateek Singh,0,https://www.google.com/maps/contrib/115439049244339467614/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMdmUzb3ZBRRAB,One of the best place to have food in Worli area..the ambiance is good very good place for family,a month ago,2024-08-11 17:55:35.013422,5.0,Suvankar Sanyal,78,https://www.google.com/maps/contrib/117690639489195103764/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMcmRlOXdnRRAB,"Brilliant food, wonderful experience, Highly recommended.",a month ago,2024-08-11 17:55:35.014422,5.0,Vishal D,0,https://www.google.com/maps/contrib/104529970257085680109/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMcmEyZTd3RRAB,,a month ago,2024-08-11 17:55:35.014422,5.0,Tajalla Karimi,0,https://www.google.com/maps/contrib/104570303725979723470/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMamN1NzlRRRAB,Good working,a month ago,2024-08-11 17:55:35.015424,5.0,B Veera Venkata Durga prasad B Durga prasad,0,https://www.google.com/maps/contrib/111885055137264251326/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMLWZLQ0F3EAE,Food was good Good service provide,a month ago,2024-08-11 17:55:35.015424,5.0,Gaurav pandey,0,https://www.google.com/maps/contrib/116419805027252950968/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMdWVfR1l3EAE,Nice,a month ago,2024-08-11 17:55:35.016421,5.0,Dilawarkhan Rana,0,https://www.google.com/maps/contrib/108017632128517798064/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMdVlQak9REAE,Super 👍🏻,a month ago,2024-08-11 17:55:35.016421,5.0,Akshay Vr,0,https://www.google.com/maps/contrib/112845153941631567304/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMMllPeHVBRRAB,Anyone loving this place it's was all items if you search this place uses so much,a month ago,2024-08-11 17:55:35.017686,5.0,Dileep Madakam,0,https://www.google.com/maps/contrib/117758419499203258111/reviews?hl=en
ChdDSUhNMG9nS0VJQ0FnSUNMbVp1bDR3RRAB,"**Barbeque Nation Restaurant Review: A Culinary Journey of Flavors**  Barbeque Nation is more than just a dining experience; it's a celebration of flavors and a testament to the joy of communal dining. Nestled in [location], this restaurant offers a unique concept where patrons can indulge in both traditional and contemporary grilled dishes right at their tables.  **Ambiance:** Upon entering, you're greeted by a warm and inviting ambiance. The spacious dining area is adorned with rustic decor, creating a cozy yet lively atmosphere. The seating arrangement is comfortable, perfect for both intimate dinners and larger gatherings.  **Service:** The service at Barbeque Nation is exceptional. Staff members are attentive and courteous, ensuring that every need is promptly attended to. The interactive grilling experience at the table is well-managed by the servers, who offer assistance and suggestions throughout the meal.  **Food:** Now, onto the highlight: the food. Barbeque Nation excels in offering a diverse array of grilled dishes, both vegetarian and non-vegetarian. The live grill at the center of the table allows diners to cook their own skewers to their preferred level of doneness. The starters are plentiful and delicious, featuring everything from succulent kebabs to flavorful seafood options.  Moving on to the main course, the buffet spread is extensive, catering to various palates with dishes ranging from Indian curries to international delights. The desserts are a delightful conclusion to the meal, with a selection that includes indulgent sweets and fresh fruits.  **Overall Experience:** Barbeque Nation stands out not only for its food but also for the overall dining experience it offers. Whether you're celebrating a special occasion or simply enjoying a meal with friends and family, the restaurant provides an atmosphere that encourages camaraderie and enjoyment. The concept of DIY grilling adds an interactive element that enhances the dining experience, making it memorable and unique.  **Final Verdict:** For those who appreciate good food, attentive service, and a lively ambiance, Barbeque Nation is a must-visit. It seamlessly blends quality dining with a touch of adventure, promising a culinary journey that satisfies both the palate and the soul. I highly recommend it for anyone looking to indulge in a delightful gastronomic experience.",a month ago,2024-08-11 17:55:35.018693,5.0,Flame Gaming,0,https://www.google.com/maps/contrib/108840250185648617401/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbWRHbkZREAE,"I visited barbeque nation earlier this week to try their Mango Tango Fest!! They have wide variety of Mango inspired dishes like aam panna mocktail, salsa dip, mango desserts and I loved every bit of it.. The experience is too good! Must visit if you wanna have some unlimited bbq buffet👍🏻",a month ago,2024-08-11 17:55:35.018693,5.0,Tourist 2brownies,4,https://www.google.com/maps/contrib/112924954461176289300/reviews?hl=en
ChZDSUhNMG9nS0VJQ0FnSUNMbWJqN0hBEAE,Enjoyed the Non veg and deserts. Very taste food and nice place to hang out with the friends.,a month ago,2024-08-11 17:55:35.019701,5.0,RAGHAVENDRA M,34,https://www.google.com/maps/contrib/114323012570250581781/reviews?hl=en
